paper_id,number_occurances,weighted_occurances
conf_vldb_su91,9,9
conf_vldb_deshpandeh04,9,9
conf_vldb_faloutsosns91,9,9
conf_vldb_chaw91,9,9
conf_vldb_hully90,9,9
conf_vldb_guolr05,9,9
conf_vldb_araidgk07,9,9
conf_vldb_wiesnerk01,9,9
conf_vldb_haberil95,9,9
conf_vldb_bittondt83,9,9
conf_vldb_manolao86,9,9
conf_vldb_krishnamurthykn04,9,9
conf_vldb_haaskwy97,9,9
conf_vldb_ludaschermp02,9,9
conf_vldb_esterkswx98,9,9
conf_vldb_chandrasekaranf02,9,9
conf_vldb_senko75,9,9
conf_vldb_chrysanthisr91,9,9
conf_vldb_chamberlins92,9,9
conf_vldb_bunemandhow95,9,9
conf_vldb_jauharicl90,9,9
conf_vldb_sismanisbhr06,9,9
conf_vldb_laum06,9,9
conf_vldb_berckensw97,9,9
conf_vldb_lutd95,9,9
conf_jcdl_jurikbfm14,8,8
conf_jcdl_rimkush13,8,8
conf_jcdl_brunellen13,8,8
conf_jcdl_tonnieskkb10,8,8
conf_jcdl_mccowndn07,8,8
conf_jcdl_stewartcb07,8,8
conf_jcdl_hariharanhm08,8,8
conf_jcdl_sautterbkm10,8,8
conf_jcdl_nurmikko-fuller15,8,8
conf_jcdl_tweedymn13,8,8
conf_jcdl_mcdonough09,8,8
conf_jcdl_ishiharaistt12,8,8
conf_jcdl_gaoqtll12,8,8
conf_jcdl_mimnojc05,8,8
conf_sigir_anderkasl12,8,8
conf_sigir_xiawhj12,8,8
conf_sigir_shouw0013,8,8
conf_sigir_nan09,8,8
conf_sigir_rossimcs13,8,8
conf_sigir_foxcdh90,8,8
conf_sigir_wanglzd08,8,8
conf_sigir_inquire78,8,8
conf_sigir_miaohy12,8,8
conf_sigir_guivers08,8,8
conf_sigir_zhangzc12,8,8
conf_sigir_iwayamafkm03,8,8
